State,Total,Male,Female,Unisex,AllGender,ParkingAccessible,PaymentRequired,AdultChange,BabyChange,BabyCareRoom,Accessible,SanitaryDisposal,MensPadDisposal
WA,2741,0.7289310470631156,0.7278365560014594,0.22619481940897482,0.012404232032105071,0.3305363006202116,0.0047427946005107625,0.02663261583363736,0.1608901860634805,0.006566946369937978,0.5778912805545421,0.32615833637358627,0.012039401678219628
QLD,4500,0.7137777777777777,0.7124444444444444,0.23644444444444446,0.004666666666666667,0.266,0.004666666666666667,0.018666666666666668,0.15866666666666668,0.01577777777777778,0.5857777777777777,0.276,0.03177777777777778
SA,2048,0.63916015625,0.638671875,0.29150390625,0.01806640625,0.23486328125,0.00927734375,0.0234375,0.1953125,0.00537109375,0.5830078125,0.3955078125,0.029296875
TAS,953,0.5739769150052466,0.5739769150052466,0.3462749213011542,0.02728226652675761,0.23399790136411333,0.002098635886673662,0.01049317943336831,0.1794333683105981,0.024134312696747113,0.521511017838405,0.25813221406086045,0.001049317943336831
NT,328,0.7408536585365854,0.7408536585365854,0.25914634146341464,0.006097560975609756,0.3018292682926829,0.012195121951219513,0.021341463414634148,0.1524390243902439,0.009146341463414634,0.524390243902439,0.3597560975609756,0.042682926829268296
VIC,5725,0.6632314410480349,0.6613100436681223,0.31353711790393013,0.01589519650655022,0.25048034934497815,0.0034934497816593887,0.0337117903930131,0.2045414847161572,0.00925764192139738,0.5498689956331878,0.2934497816593886,0.013100436681222707
NSW,7567,0.7524778644112594,0.7535350865600634,0.22175234571164265,0.009382846570635655,0.33817893484868505,0.004889652438218581,0.02233381789348487,0.22465970662085372,0.018104929298268797,0.606052596801903,0.273159772697238,0.013083124091449716
ACT,312,0.7692307692307693,0.7724358974358975,0.2403846153846154,0.009615384615384616,0.1987179487179487,0.00641025641025641,0.03205128205128205,0.11217948717948718,0.019230769230769232,0.5224358974358975,0.2403846153846154,0.01282051282051282
,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
