2022 Federal Election House of Representatives First Preferences By Candidate By Polling Place for TAS [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:00 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
TAS,192,Bass,8295,Derby,37003,HUMBLE,Stephen,6,N,N,LDP,Liberal Democrats,2,2.67
TAS,192,Bass,8295,Derby,36111,SQUIBB,Kyle,7,N,N,UAPP,United Australia Party,2,-1.94
TAS,192,Bass,8295,Derby,37601,DAVY,Melanie,8,N,N,ON,Pauline Hanson's One Nation,2,2.67
TAS,192,Bass,8295,Derby,37226,HART,Ross,9,N,N,ALP,Australian Labor Party,21,-9.67
TAS,192,Bass,8295,Derby,999,Informal,Informal,999,N,N,,Informal,7,5.55
TAS,192,Bass,8296,Dilston,36070,RAZAY,George,1,N,N,IND,Independent,32,5.39
TAS,192,Bass,8296,Dilston,37348,SALT,Bob,2,N,N,JLN,Jacqui Lambie Network,29,4.88
TAS,192,Bass,8296,Dilston,37287,ROSOL,Cecily,3,N,N,GRN,The Greens,67,0.65
TAS,192,Bass,8296,Dilston,37134,ARCHER,Bridget Kathleen,4,Y,Y,LP,Liberal,274,-1.87
TAS,192,Bass,8296,Dilston,36814,BAKER,Alison,5,N,N,AJP,Animal Justice Party,9,-2.29
TAS,192,Bass,8296,Dilston,37003,HUMBLE,Stephen,6,N,N,LDP,Liberal Democrats,5,0.84
TAS,192,Bass,8296,Dilston,36111,SQUIBB,Kyle,7,N,N,UAPP,United Australia Party,14,-3.06
TAS,192,Bass,8296,Dilston,37601,DAVY,Melanie,8,N,N,ON,Pauline Hanson's One Nation,28,4.71
TAS,192,Bass,8296,Dilston,37226,HART,Ross,9,N,N,ALP,Australian Labor Party,136,-4.75
TAS,192,Bass,8296,Dilston,999,Informal,Informal,999,N,N,,Informal,32,2.3
TAS,192,Bass,8313,East Launceston,36070,RAZAY,George,1,N,N,IND,Independent,71,7.27
TAS,192,Bass,8313,East Launceston,37348,SALT,Bob,2,N,N,JLN,Jacqui Lambie Network,29,2.97
TAS,192,Bass,8313,East Launceston,37287,ROSOL,Cecily,3,N,N,GRN,The Greens,194,1.17
TAS,192,Bass,8313,East Launceston,37134,ARCHER,Bridget Kathleen,4,Y,Y,LP,Liberal,397,-1.44
TAS,192,Bass,8313,East Launceston,36814,BAKER,Alison,5,N,N,AJP,Animal Justice Party,8,-0.9
TAS,192,Bass,8313,East Launceston,37003,HUMBLE,Stephen,6,N,N,LDP,Liberal Democrats,3,0.31
TAS,192,Bass,8313,East Launceston,36111,SQUIBB,Kyle,7,N,N,UAPP,United Australia Party,13,-1.35
TAS,192,Bass,8313,East Launceston,37601,DAVY,Melanie,8,N,N,ON,Pauline Hanson's One Nation,16,1.64
TAS,192,Bass,8313,East Launceston,37226,HART,Ross,9,N,N,ALP,Australian Labor Party,245,-6.67
TAS,192,Bass,8313,East Launceston,999,Informal,Informal,999,N,N,,Informal,23,0.2
TAS,192,Bass,65496,EAV Bass PPVC,36070,RAZAY,George,1,N,N,IND,Independent,0,0
TAS,192,Bass,65496,EAV Bass PPVC,37348,SALT,Bob,2,N,N,JLN,Jacqui Lambie Network,1,9.09
TAS,192,Bass,65496,EAV Bass PPVC,37287,ROSOL,Cecily,3,N,N,GRN,The Greens,1,8.68
TAS,192,Bass,65496,EAV Bass PPVC,37134,ARCHER,Bridget Kathleen,4,Y,Y,LP,Liberal,1,-24.67
TAS,192,Bass,65496,EAV Bass PPVC,36814,BAKER,Alison,5,N,N,AJP,Animal Justice Party,0,-16.13
TAS,192,Bass,65496,EAV Bass PPVC,37003,HUMBLE,Stephen,6,N,N,LDP,Liberal Democrats,1,9.09
TAS,192,Bass,65496,EAV Bass PPVC,36111,SQUIBB,Kyle,7,N,N,UAPP,United Australia Party,0,-0.13
TAS,192,Bass,65496,EAV Bass PPVC,37601,DAVY,Melanie,8,N,N,ON,Pauline Hanson's One Nation,0,0
TAS,192,Bass,65496,EAV Bass PPVC,37226,HART,Ross,9,N,N,ALP,Australian Labor Party,7,14.21
TAS,192,Bass,65496,EAV Bass PPVC,999,Informal,Informal,999,N,N,,Informal,0,-0.11
TAS,192,Bass,108663,EAV COVID19 Bass PPVC,36070,RAZAY,George,1,N,N,IND,Independent,17,5.92
TAS,192,Bass,108663,EAV COVID19 Bass PPVC,37348,SALT,Bob,2,N,N,JLN,Jacqui Lambie Network,20,6.97
TAS,192,Bass,108663,EAV COVID19 Bass PPVC,37287,ROSOL,Cecily,3,N,N,GRN,The Greens,42,14.63
TAS,192,Bass,108663,EAV COVID19 Bass PPVC,37134,ARCHER,Bridget Kathleen,4,Y,Y,LP,Liberal,92,32.06
TAS,192,Bass,108663,EAV COVID19 Bass PPVC,36814,BAKER,Alison,5,N,N,AJP,Animal Justice Party,6,2.09
TAS,192,Bass,108663,EAV COVID19 Bass PPVC,37003,HUMBLE,Stephen,6,N,N,LDP,Liberal Democrats,4,1.39
TAS,192,Bass,108663,EAV COVID19 Bass PPVC,36111,SQUIBB,Kyle,7,N,N,UAPP,United Australia Party,8,2.79
TAS,192,Bass,108663,EAV COVID19 Bass PPVC,37601,DAVY,Melanie,8,N,N,ON,Pauline Hanson's One Nation,6,2.09
TAS,192,Bass,108663,EAV COVID19 Bass PPVC,37226,HART,Ross,9,N,N,ALP,Australian Labor Party,92,32.06
TAS,192,Bass,108663,EAV COVID19 Bass PPVC,999,Informal,Informal,999,N,N,,Informal,6,2.05
TAS,192,Bass,8592,Exeter,36070,RAZAY,George,1,N,N,IND,Independent,57,5.72
TAS,192,Bass,8592,Exeter,37348,SALT,Bob,2,N,N,JLN,Jacqui Lambie Network,74,7.42
TAS,192,Bass,8592,Exeter,37287,ROSOL,Cecily,3,N,N,GRN,The Greens,99,-0.5
TAS,192,Bass,8592,Exeter,37134,ARCHER,Bridget Kathleen,4,Y,Y,LP,Liberal,418,-4.87
TAS,192,Bass,8592,Exeter,36814,BAKER,Alison,5,N,N,AJP,Animal Justice Party,14,-0.64
TAS,192,Bass,8592,Exeter,37003,HUMBLE,Stephen,6,N,N,LDP,Liberal Democrats,12,1.2
TAS,192,Bass,8592,Exeter,36111,SQUIBB,Kyle,7,N,N,UAPP,United Australia Party,11,-4.42
TAS,192,Bass,8592,Exeter,37601,DAVY,Melanie,8,N,N,ON,Pauline Hanson's One Nation,79,7.92
TAS,192,Bass,8592,Exeter,37226,HART,Ross,9,N,N,ALP,Australian Labor Party,233,-5.03
TAS,192,Bass,8592,Exeter,999,Informal,Informal,999,N,N,,Informal,63,1.67
TAS,192,Bass,8314,Five Ways,36070,RAZAY,George,1,N,N,IND,Independent,35,5.15
TAS,192,Bass,8314,Five Ways,37348,SALT,Bob,2,N,N,JLN,Jacqui Lambie Network,41,6.04
TAS,192,Bass,8314,Five Ways,37287,ROSOL,Cecily,3,N,N,GRN,The Greens,100,-1.81
TAS,192,Bass,8314,Five Ways,37134,ARCHER,Bridget Kathleen,4,Y,Y,LP,Liberal,243,0.92
TAS,192,Bass,8314,Five Ways,36814,BAKER,Alison,5,N,N,AJP,Animal Justice Party,10,-1.67
TAS,192,Bass,8314,Five Ways,37003,HUMBLE,Stephen,6,N,N,LDP,Liberal Democrats,11,1.62
TAS,192,Bass,8314,Five Ways,36111,SQUIBB,Kyle,7,N,N,UAPP,United Australia Party,5,-2.85
TAS,192,Bass,8314,Five Ways,37601,DAVY,Melanie,8,N,N,ON,Pauline Hanson's One Nation,25,3.68
TAS,192,Bass,8314,Five Ways,37226,HART,Ross,9,N,N,ALP,Australian Labor Party,209,-7.6
TAS,192,Bass,8314,Five Ways,999,Informal,Informal,999,N,N,,Informal,44,2.29
TAS,192,Bass,8301,George Town,36070,RAZAY,George,1,N,N,IND,Independent,47,3.5
TAS,192,Bass,8301,George Town,37348,SALT,Bob,2,N,N,JLN,Jacqui Lambie Network,71,5.29
TAS,192,Bass,8301,George Town,37287,ROSOL,Cecily,3,N,N,GRN,The Greens,75,0.69
TAS,192,Bass,8301,George Town,37134,ARCHER,Bridget Kathleen,4,Y,Y,LP,Liberal,559,7.33
TAS,192,Bass,8301,George Town,36814,BAKER,Alison,5,N,N,AJP,Animal Justice Party,16,-0.85
TAS,192,Bass,8301,George Town,37003,HUMBLE,Stephen,6,N,N,LDP,Liberal Democrats,16,1.19
TAS,192,Bass,8301,George Town,36111,SQUIBB,Kyle,7,N,N,UAPP,United Australia Party,42,-3.04
TAS,192,Bass,8301,George Town,37601,DAVY,Melanie,8,N,N,ON,Pauline Hanson's One Nation,61,4.55
