2022 Federal Election House of Representatives First Preferences By Candidate By Polling Place for NSW [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:02 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NSW,103,Banks,46,Blakehurst North,36265,MOMIRCEVSKI,Marika,3,N,N,UAPP,United Australia Party,42,9.97
NSW,103,Banks,46,Blakehurst North,36330,HANNA,Natalie,4,N,N,GRN,The Greens,32,3.12
NSW,103,Banks,46,Blakehurst North,37388,KHOUW,Steve,5,N,N,NAFD,,1,0.27
NSW,103,Banks,46,Blakehurst North,37773,HEFFERNAN,Malcolm Phillip,6,N,N,ON,Pauline Hanson's One Nation,7,1.91
NSW,103,Banks,46,Blakehurst North,36774,SOON,Zhi,7,N,N,ALP,Labor,124,-4.85
NSW,103,Banks,46,Blakehurst North,999,Informal,Informal,999,N,N,,Informal,57,6.32
NSW,103,Banks,56472,Carlton South (Banks),37018,COLEMAN,David,1,Y,Y,LP,Liberal,366,-1.79
NSW,103,Banks,56472,Carlton South (Banks),36651,COCKER,Elouise Ivy,2,N,N,LDP,Liberal Democrats,16,1.67
NSW,103,Banks,56472,Carlton South (Banks),36265,MOMIRCEVSKI,Marika,3,N,N,UAPP,United Australia Party,68,4.39
NSW,103,Banks,56472,Carlton South (Banks),36330,HANNA,Natalie,4,N,N,GRN,The Greens,98,3.59
NSW,103,Banks,56472,Carlton South (Banks),37388,KHOUW,Steve,5,N,N,NAFD,,9,0.94
NSW,103,Banks,56472,Carlton South (Banks),37773,HEFFERNAN,Malcolm Phillip,6,N,N,ON,Pauline Hanson's One Nation,22,2.29
NSW,103,Banks,56472,Carlton South (Banks),36774,SOON,Zhi,7,N,N,ALP,Labor,381,-6.66
NSW,103,Banks,56472,Carlton South (Banks),999,Informal,Informal,999,N,N,,Informal,110,0.97
NSW,103,Banks,65,Carlton West,37018,COLEMAN,David,1,Y,Y,LP,Liberal,508,-8.62
NSW,103,Banks,65,Carlton West,36651,COCKER,Elouise Ivy,2,N,N,LDP,Liberal Democrats,20,1.64
NSW,103,Banks,65,Carlton West,36265,MOMIRCEVSKI,Marika,3,N,N,UAPP,United Australia Party,91,4.7
NSW,103,Banks,65,Carlton West,36330,HANNA,Natalie,4,N,N,GRN,The Greens,106,4.37
