FacilityID,PollingPlaceID,Distance
1,8127,1.5187418763256226
2,8219,0.6858804030620703
3,7931,1.0325707753312579
4,7931,0.5393741346516716
5,8127,0.16964207606537338
7,7931,0.36547539806314316
9,8129,0.5142734997591031
15,5250,1.5123421750532728
16,5250,0.455694129402083
17,5250,0.11630025094455808
18,5250,1.8880120375088878
20,5250,1.2122936404247853
21,5823,1.6914774389165013
22,5823,1.5403880661778546
23,5823,0.8886259455291662
24,5823,0.7288109114757901
25,5823,0.18812054172205905
26,5950,0.3657832406782272
29,5969,0.6871492083477534
30,5969,0.7505849229320483
31,5969,0.3506428080315998
33,5969,0.429308886149669
35,5956,1.493695939271202
36,5956,0.4588511622292508
37,5968,1.0183839187544237
38,5949,1.1161350143182993
39,5986,0.3866700787209308
41,5998,0.24208294215010484
42,5980,0.08001649154236812
43,5996,7.514031450490866
47,5974,0.7145003976450247
48,5974,8.761952459929892
49,5954,1.577768596542052
50,5954,0.18027064930963832
51,5983,0.5270470444836914
52,5983,0.7355723401460714
56,5983,3.8844890882957857
57,5983,3.9876473511012307
58,5983,1.952628276076923
60,5986,8.792267322213268
61,5949,0.6601041774564889
65,7555,1.4225119850307966
67,7551,0.09654798703742844
68,7539,0.3130251460648714
69,7538,0.7001337391053012
70,7533,0.1763736209493007
71,7539,0.9262129761318537
72,7539,0.7104544243672795
74,65668,1.3109550318373648
76,108356,0.3099525479253536
78,7540,0.3782781819642588
79,65668,0.25033125720757127
80,7539,0.5436714088026633
82,7781,0.570325940007225
85,7763,0.8272586134745143
86,7823,1.398435283354181
89,7823,9.42169449354089
91,7823,14.714960960430805
92,7823,15.867670622340126
93,6230,0.5807520153456815
94,6230,0.4185645746465726
95,6230,0.24775960198733832
97,,inf
99,6193,0.7326303730331247
100,6193,0.4604548217883897
101,6193,0.5661610404162485
102,6193,0.9593717528792965
104,6193,18.799529784767447
106,6129,1.0727327227148549
107,83230,0.11055213299953967
108,83230,0.1534421741146736
109,6255,0.2500747450028259
110,6270,4.712093783967066
111,6270,2.782718133394926
112,6270,8.427826650288534
114,6286,0.6443361329956974
115,6286,0.6453812415646792
