2022 Federal Election House of Representatives First Preferences By Candidate By Polling Place for SA [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:00 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
SA,179,Adelaide,83454,Adelaide West,999,Informal,Informal,999,N,N,,Informal,22,0.05
SA,179,Adelaide,7048,Allenby Gardens (Adelaide),37049,GRANTHAM,Amy,1,N,N,LP,Liberal,404,-6.32
SA,179,Adelaide,7048,Allenby Gardens (Adelaide),36973,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,713,-2.87
SA,179,Adelaide,7048,Allenby Gardens (Adelaide),36094,ALLWOOD,Sean,3,N,N,UAPP,United Australia Party,76,1.54
SA,179,Adelaide,7048,Allenby Gardens (Adelaide),36053,McMILLAN,Matthew,4,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",23,1.39
SA,179,Adelaide,7048,Allenby Gardens (Adelaide),36463,GALDIES,Rebecca,5,N,N,GRN,The Greens,360,6.36
SA,179,Adelaide,7048,Allenby Gardens (Adelaide),37714,GERHARD,Faith,6,N,N,CYA,Australian Federation Party,19,1.14
SA,179,Adelaide,7048,Allenby Gardens (Adelaide),36885,ALLWOOD,Gayle,7,N,N,ON,Pauline Hanson's One Nation,65,3.92
SA,179,Adelaide,7048,Allenby Gardens (Adelaide),999,Informal,Informal,999,N,N,,Informal,62,-1.59
SA,179,Adelaide,7008,Black Forest (Adelaide),37049,GRANTHAM,Amy,1,N,N,LP,Liberal,191,-1.91
SA,179,Adelaide,7008,Black Forest (Adelaide),36973,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,231,-5.77
SA,179,Adelaide,7008,Black Forest (Adelaide),36094,ALLWOOD,Sean,3,N,N,UAPP,United Australia Party,24,1.26
SA,179,Adelaide,7008,Black Forest (Adelaide),36053,McMILLAN,Matthew,4,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",14,2.2
SA,179,Adelaide,7008,Black Forest (Adelaide),36463,GALDIES,Rebecca,5,N,N,GRN,The Greens,159,5.57
SA,179,Adelaide,7008,Black Forest (Adelaide),37714,GERHARD,Faith,6,N,N,CYA,Australian Federation Party,3,0.47
SA,179,Adelaide,7008,Black Forest (Adelaide),36885,ALLWOOD,Gayle,7,N,N,ON,Pauline Hanson's One Nation,14,2.2
SA,179,Adelaide,7008,Black Forest (Adelaide),999,Informal,Informal,999,N,N,,Informal,25,0.76
SA,179,Adelaide,6654,Blair Athol,37049,GRANTHAM,Amy,1,N,N,LP,Liberal,291,-2.1
SA,179,Adelaide,6654,Blair Athol,36973,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,679,-0.52
SA,179,Adelaide,6654,Blair Athol,36094,ALLWOOD,Sean,3,N,N,UAPP,United Australia Party,33,-1.48
SA,179,Adelaide,6654,Blair Athol,36053,McMILLAN,Matthew,4,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",28,2.2
SA,179,Adelaide,6654,Blair Athol,36463,GALDIES,Rebecca,5,N,N,GRN,The Greens,188,3.24
SA,179,Adelaide,6654,Blair Athol,37714,GERHARD,Faith,6,N,N,CYA,Australian Federation Party,10,0.79
SA,179,Adelaide,6654,Blair Athol,36885,ALLWOOD,Gayle,7,N,N,ON,Pauline Hanson's One Nation,42,3.3
SA,179,Adelaide,6654,Blair Athol,999,Informal,Informal,999,N,N,,Informal,73,0.52
SA,179,Adelaide,6655,Broadview,37049,GRANTHAM,Amy,1,N,N,LP,Liberal,623,-8.17
SA,179,Adelaide,6655,Broadview,36973,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,700,1.09
SA,179,Adelaide,6655,Broadview,36094,ALLWOOD,Sean,3,N,N,UAPP,United Australia Party,64,0.26
SA,179,Adelaide,6655,Broadview,36053,McMILLAN,Matthew,4,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",19,1.04
SA,179,Adelaide,6655,Broadview,36463,GALDIES,Rebecca,5,N,N,GRN,The Greens,341,6.39
SA,179,Adelaide,6655,Broadview,37714,GERHARD,Faith,6,N,N,CYA,Australian Federation Party,0,0
SA,179,Adelaide,6655,Broadview,36885,ALLWOOD,Gayle,7,N,N,ON,Pauline Hanson's One Nation,76,4.17
SA,179,Adelaide,6655,Broadview,999,Informal,Informal,999,N,N,,Informal,89,0.89
SA,179,Adelaide,7049,Brompton,37049,GRANTHAM,Amy,1,N,N,LP,Liberal,348,-4.16
SA,179,Adelaide,7049,Brompton,36973,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,663,-2.21
SA,179,Adelaide,7049,Brompton,36094,ALLWOOD,Sean,3,N,N,UAPP,United Australia Party,46,-0.11
SA,179,Adelaide,7049,Brompton,36053,McMILLAN,Matthew,4,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",42,2.41
SA,179,Adelaide,7049,Brompton,36463,GALDIES,Rebecca,5,N,N,GRN,The Greens,593,5.86
SA,179,Adelaide,7049,Brompton,37714,GERHARD,Faith,6,N,N,CYA,Australian Federation Party,16,0.92
SA,179,Adelaide,7049,Brompton,36885,ALLWOOD,Gayle,7,N,N,ON,Pauline Hanson's One Nation,33,1.9
SA,179,Adelaide,7049,Brompton,999,Informal,Informal,999,N,N,,Informal,61,0.76
SA,179,Adelaide,96647,Brooklyn Park (Adelaide),37049,GRANTHAM,Amy,1,N,N,LP,Liberal,124,1.05
SA,179,Adelaide,96647,Brooklyn Park (Adelaide),36973,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,148,-9.28
SA,179,Adelaide,96647,Brooklyn Park (Adelaide),36094,ALLWOOD,Sean,3,N,N,UAPP,United Australia Party,11,-1.3
