2022 Federal Election House of Representatives First Preferences By Candidate By Polling Place for NT [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:00 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NT,306,Lingiari,34264,Bees Creek,37585,LEE,Thong Sum,3,N,N,CEC,Citizens Party,7,1.15
NT,306,Lingiari,34264,Bees Creek,37142,MCLEOD,Allan,4,N,N,UAPP,United Australia Party,58,6.55
NT,306,Lingiari,34264,Bees Creek,37286,SCRYMGOUR,Marion,5,Y,N,ALP,A.L.P.,124,-3.08
NT,306,Lingiari,34264,Bees Creek,36987,GRAVENER,Michael Setford,6,N,N,IND,Independent,25,4.11
NT,306,Lingiari,34264,Bees Creek,37808,ADAMSON AGARS,Imelda,7,N,N,IND,Independent,11,1.81
NT,306,Lingiari,34264,Bees Creek,37433,GALLARD,Tim,8,N,N,ON,Pauline Hanson's One Nation,59,9.7
NT,306,Lingiari,34264,Bees Creek,37429,KASPAREK,George,9,N,N,LDP,Liberal Democrats,51,8.39
NT,306,Lingiari,34264,Bees Creek,999,Informal,Informal,999,N,N,,Informal,61,4.46
NT,306,Lingiari,8706,Berry Springs,36968,RYAN,Damien,1,N,N,CLP,NT CLP,193,-9
NT,306,Lingiari,8706,Berry Springs,36457,McFARLAND,Blair,2,N,N,GRN,The Greens,43,-1.04
NT,306,Lingiari,8706,Berry Springs,37585,LEE,Thong Sum,3,N,N,CEC,Citizens Party,20,3.75
NT,306,Lingiari,8706,Berry Springs,37142,MCLEOD,Allan,4,N,N,UAPP,United Australia Party,37,0.55
NT,306,Lingiari,8706,Berry Springs,37286,SCRYMGOUR,Marion,5,Y,N,ALP,A.L.P.,127,-3.81
NT,306,Lingiari,8706,Berry Springs,36987,GRAVENER,Michael Setford,6,N,N,IND,Independent,13,2.44
NT,306,Lingiari,8706,Berry Springs,37808,ADAMSON AGARS,Imelda,7,N,N,IND,Independent,9,1.69
NT,306,Lingiari,8706,Berry Springs,37433,GALLARD,Tim,8,N,N,ON,Pauline Hanson's One Nation,62,11.63
NT,306,Lingiari,8706,Berry Springs,37429,KASPAREK,George,9,N,N,LDP,Liberal Democrats,29,5.44
NT,306,Lingiari,8706,Berry Springs,999,Informal,Informal,999,N,N,,Informal,45,1.93
NT,306,Lingiari,8707,Braitling,36968,RYAN,Damien,1,N,N,CLP,NT CLP,271,-8.63
NT,306,Lingiari,8707,Braitling,36457,McFARLAND,Blair,2,N,N,GRN,The Greens,133,2.73
NT,306,Lingiari,8707,Braitling,37585,LEE,Thong Sum,3,N,N,CEC,Citizens Party,8,1.12
NT,306,Lingiari,8707,Braitling,37142,MCLEOD,Allan,4,N,N,UAPP,United Australia Party,13,-0.53
NT,306,Lingiari,8707,Braitling,37286,SCRYMGOUR,Marion,5,Y,N,ALP,A.L.P.,185,-5.89
NT,306,Lingiari,8707,Braitling,36987,GRAVENER,Michael Setford,6,N,N,IND,Independent,16,2.24
NT,306,Lingiari,8707,Braitling,37808,ADAMSON AGARS,Imelda,7,N,N,IND,Independent,6,0.84
NT,306,Lingiari,8707,Braitling,37433,GALLARD,Tim,8,N,N,ON,Pauline Hanson's One Nation,66,9.26
NT,306,Lingiari,8707,Braitling,37429,KASPAREK,George,9,N,N,LDP,Liberal Democrats,15,2.1
NT,306,Lingiari,8707,Braitling,999,Informal,Informal,999,N,N,,Informal,52,2.2
NT,306,Lingiari,97712,Christmas Island PPVC,36968,RYAN,Damien,1,N,N,CLP,NT CLP,28,-10.41
NT,306,Lingiari,97712,Christmas Island PPVC,36457,McFARLAND,Blair,2,N,N,GRN,The Greens,34,0.84
NT,306,Lingiari,97712,Christmas Island PPVC,37585,LEE,Thong Sum,3,N,N,CEC,Citizens Party,8,2.17
NT,306,Lingiari,97712,Christmas Island PPVC,37142,MCLEOD,Allan,4,N,N,UAPP,United Australia Party,8,0.94
NT,306,Lingiari,97712,Christmas Island PPVC,37286,SCRYMGOUR,Marion,5,Y,N,ALP,A.L.P.,247,-1.03
NT,306,Lingiari,97712,Christmas Island PPVC,36987,GRAVENER,Michael Setford,6,N,N,IND,Independent,4,1.09
NT,306,Lingiari,97712,Christmas Island PPVC,37808,ADAMSON AGARS,Imelda,7,N,N,IND,Independent,1,0.27
NT,306,Lingiari,97712,Christmas Island PPVC,37433,GALLARD,Tim,8,N,N,ON,Pauline Hanson's One Nation,7,1.9
NT,306,Lingiari,97712,Christmas Island PPVC,37429,KASPAREK,George,9,N,N,LDP,Liberal Democrats,31,8.42
